model,attack,level_2,t_list,Clean_acc,Attacked_acc,Defended_acc
curvenet,pgdl2,15280,"[20, 75, 40, 0, 55]",0.9384116693679092,0.0940032414910859,0.7686385737439222
curvenet,pgdl2,13856,"[25, 100, 30, 95, 50]",0.9384116693679092,0.0940032414910859,0.7633711507293355
curvenet,pgdl2,14998,"[25, 55, 35, 75, 60]",0.9384116693679092,0.0940032414910859,0.7629659643435981
curvenet,pgdl2,14335,"[25, 90, 65, 70, 10]",0.9384116693679092,0.0940032414910859,0.7629659643435981
curvenet,pgdl2,14102,"[20, 75, 85, 30, 60]",0.9384116693679092,0.0940032414910859,0.7625607779578606
curvenet,pgdl2,15139,"[25, 75, 5, 55, 55]",0.9384116693679092,0.0940032414910859,0.7625607779578606
curvenet,pgdl2,15151,"[20, 45, 55, 70, 10]",0.9384116693679092,0.0940032414910859,0.7625607779578606
curvenet,pgdl2,13559,"[20, 60, 15, 0, 90]",0.9384116693679092,0.0940032414910859,0.7621555915721232
curvenet,pgdl2,15651,"[25, 50, 45, 40, 40]",0.9384116693679092,0.0940032414910859,0.7621555915721232
curvenet,pgdl2,14653,"[95, 40, 40, 80, 80]",0.9384116693679092,0.0940032414910859,0.7621555915721232
dgcnn,add,33367,"[5, 15, 20, 5, 25]",0.9286871961102108,0.63290113452188,0.8460291734197731
dgcnn,add,33584,"[5, 0, 30, 10, 40]",0.9286871961102108,0.63290113452188,0.8456239870340356
dgcnn,add,34746,"[5, 0, 55, 40, 30]",0.9286871961102108,0.63290113452188,0.8419773095623987
dgcnn,add,35002,"[5, 0, 5, 5, 45]",0.9286871961102108,0.63290113452188,0.8415721231766613
dgcnn,add,34706,"[5, 5, 35, 10, 50]",0.9286871961102108,0.63290113452188,0.8411669367909238
dgcnn,add,33181,"[5, 5, 30, 35, 95]",0.9286871961102108,0.63290113452188,0.8399513776337115
dgcnn,add,32707,"[5, 10, 60, 35, 10]",0.9286871961102108,0.63290113452188,0.8391410048622366
dgcnn,add,33185,"[5, 0, 35, 65, 15]",0.9286871961102108,0.63290113452188,0.8383306320907618
